Katsesõna;Mudel;Definitsioon;Hinnang;Kommentaar
peoloom;o4-mini;seltskonnas meeleolu loov ja tähelepanu keskmes olev inimene;3;
peoloom;o3;pidusid, lõbutsemist ja seltskonda armastav inimene, kes käib sageli ning meelsasti pidudel;4;
pesakond;EuroLLM-9b-instruct;"Rühm loomi, kes on sündinud samast emasloomast või kuuluvad sama rühma. Näiteks ""koerasportlase pesakond"" viitab kutsikatele, kelle sünnitas koer ja kes on mõeldud kasvatamiseks ning kasutamiseks teatud spordialadel.";2;
pesakond;Claude 3.7 Sonnet;"ühest pesakonnast pärit loomade, lindude või putukate järglaste kogum; ka lasterohke pere kohta";3;
pesakond;Gemini 2.5 Pro Preview;loomade (hrl imetajate, lindude) samal poegimis- või haudumiskorral ilmale tulnud järglased;4;
pesakond;GPT-4o;lindude, loomade vm järglaste rühm, kes on sündinud samal ajal ja keda kasvatatakse koos ühe vanemapaariga;3;
pesakond;GPT-4.1;ühest pesast pärit loomapojad, kes on sündinud või koorunud samal ajal;3;
pesakond;o4-mini;samal ajal koorunud või sündinud lindude või loomade poegade rühm;3;
pesakond;o3;ühe ja sama emase korraga sündinud või koorunud järglaste kogum;4;
suitsetama;Llama-4-Maverick-17B-128E-Instruct;tubakat või muud suitsetamiseks mõeldud ainet põletades sisse hingama;3;
suitsetama;Gemini 1.5 Pro;Tubakat või muud ainet põletades sellest eralduvat suitsu sisse hingama ja välja puhuma.;3;
suitsetama;GPT-4.1;tubakat või muud taolist ainet suitsetamise teel sisse hingama;4;
sugupuu;Claude 3.5 Sonnet;skemaatiline joonis või kirjalik ülevaade, mis näitab perekonnaliikmete omavahelisi sugulussuhteid ja põlvnemist läbi mitme põlvkonna;4;
sugupuu;Gemini 2.5 Pro Preview;ühe isiku v suguvõsa põlvnemist (esivanemaid ja/või järglasi) kajastav skeem v loetelu;4;
sugupuu;GPT-4o;esivanemate ja järeltulijate järjestikune loetelu või skeem, mis näitab perekondlikke seoseid ja päritolu;4;
sugupuu;o4-mini;perekonna sugulussuhete skeem, mis kujutab eri põlvkondade kaupa pärilussidemeid;3;
sugupuu;o3;põlvkondade kaupa järjestatud ülevaade inimese või perekonna esivanematest ja järeltulijatest, sageli graafilise skeemi või loeteluna kujutatud põlvnevusjärjestus;3;
kategooriline;EuroLLM-9b-instruct;Kategooriline on isik, kes on väga kindel oma arvamuses või arvamustes ning ei luba alternatiive ega muudatusi. Ta nõuab, et teised järgiksid tema seisukohti, ilma eriarvamuste või küsimisteta. See võib olla nii positiivne kui ka negatiivne omadus, sõltuvalt olukorrast ja kontekstist.;2;
kategooriline;GPT-4o;"kindel, tingimusteta, järeleandmatu; midagi kindlalt väitma või nõudma, ilma kahtluste või eranditeta";2;antud lisaks adjektiivile ka verbi tüüpi seletus
kategooriline;GPT-4.1;ilma kahtluse või kõhkluseta, tingimusteta ja kindlalt väitev või otsustav;3;
kategooriline;o3;igasugust kõhklust või erandit välistavalt kindel ja lõplik, tingimusteta (nt eituse, otsuse või väite puhul);3;
personal;Claude 3.7 Sonnet;"asutuse, ettevõtte vm organisatsiooni töötajaskond, ametnikud või teenistujad; isiklik, üksikisikut puudutav või temale kuuluv";2;vale tähendus ka juurde lisatud
personal;Gemini 2.5 Pro Preview;asutuse, ettevõtte vms töötajaskond v. teenistujad;3;
personal;o4-mini;konkreetse asutuse, ettevõtte või organisatsiooni töötajatest koosnev kogu;3;
perspektiivitu;Llama-4-Maverick-17B-128E-Instruct;tulevikuväljavaateid mitteomav, lootusetu, edutuna näiv;4;
perspektiivitu;Claude 3.7 Sonnet;tulevikuväljavaateta, edasise arengu või edu võimaluseta, lootusetu;4;
perspektiivitu;Gemini 1.5 Pro;"edasimineku-, arengu- või lootusetust tähistav; ilma tulevikuväljavaateteta";3;
perspektiivitu;GPT-4.1;"ilma arengu-, edu- või tulevikuvõimaluseta; lootusetu";4;
perspektiivitu;o4-mini;millegi arenguvõimalust ega lootust mitte pakkuv;3;
pesto;Claude 3.5 Sonnet;basiilikust, küüslaugust, oliiviõlist, parmesani juustust ja männiseemnetest valmistatud pastataoline kaste või määre;3;
pesto;Gmeini 2.0 Flash;itaaliapärane basiilikust, küüslaugust, seedermänniseemnetest, Parmesani juustust ja oliiviõlist valmistatud roheline kaste, mida kasutatakse peamiselt pasta, aga ka teiste toitude maitsestamiseks;4;tegelikult veidi liiga pikk, aga otseselt midagi viga ei ole, et eristada teisest, panin siiski kõrgema hinnangu
summaarne;EuroLLM-9b-instruct;Summaarne tähendab lühikokkuvõtet või kokkuvõtlikku ülevaadet mingist teemast, sündmusest või olukorrast. See võib viidata sellele, et andmeid on esitatud lihtsustatud ja kiire vormis, ilma üksikasjadeta. Näiteks võib öelda, et aruanne on tehtud summaariliselt, kui see sisaldab ainult peamisi fakte ja mõjutusi, kuid mitte kõiki üksikasju.;2;
summaarne;Claude 3.5 Sonnet;kõiki osi või üksikasju kokku võttev, kogu hulka hõlmav, kokkuvõtlik;3;
summaarne;Claude 3.7 Sonnet;"kõiki osi või üksikasju kokku võttev, koondav; kogu hulka, kogumit või tervikut hõlmav";3;
summaarne;GPT-4.1;kokkuvõtlik, kõiki osi või andmeid hõlmav ja üldistav;2;"sisuviga sees, pole ""kõiki osi hõlmav"""
transport;Claude 3.5 Sonnet;inimeste, kaupade või muu vedu ühest kohast teise erinevate liiklusvahendite abil;4;
transport;GPT-4o;inimeste, kaupade või informatsiooni liikumine ühest kohast teise, sageli sõidukite või muude vahendite abil, et hõlbustada liikumist ja ühendust erinevate paikade vahel;3;
transport;o3;inimeste, kaupade või muude esemete vedamine ühest kohast teise, samuti sellega seotud korraldus ja teenindus;4;
transs;Llama-4-Maverick-17B-128E-Instruct;"teadvuseseisund, mida iseloomustab kõrgenenud vastuvõtlikkus sisendusele või oma tegevuse ja ümbruse suhtes vähese teadlikkusega sooritatavad toimingud; hüpnootiline uni või sellega sarnane seisund";2;
transs;Gmeini 2.0 Flash;"teadvuse muundunud seisund, kus välismaailmaga kontakt on nõrgenenud ja keskendutakse sisemistele aistingutele, mõtetele vms; ekstaasitaoline seisund";3;
transs;GPT-4o;teadvuse seisund, kus inimene on sügavalt keskendunud, sageli välismaailmast eraldunud ja tavapärasest erinevas vaimses seisundis;3;
transs;GPT-4.1;Määramata definitsioon;1;defi pole antud
transs;o4-mini;muudetud teadvuseseisund, mille korral inimene kaotab osaliselt või täielikult kontakti välismaailmaga ja keskendub sisemisele kogemusele;3;
akne;EuroLLM-9b-instruct;Akne on nahahaigus, mille tunnused on komedoonid (mustad täpid ja valged punktid), punased sõlmed ja mädavillid. See tekib tavaliselt puberteedieas, kui rasunäärmed toodavad rohkem rasu, mis ummistab poorid ja põhjustab põletikku ning infektsiooni. Akne võib olla põhjustatud mitmetest teguritest, sealhulgas geneetiline eelsoodumus, hormonaalsed muutused, toitumine, stress või muud põhjused. Akne on levinud nahahaigus, mida saab ravida erinevate meetoditega, nagu näiteks ravimite kasutamine, kosmeetilised protseduurid ja muud.;2;pikkuse tõttu vajab rohkem toimetamist
akne;o3;rasunäärmete põletikust tingitud mädapunne tekitav krooniline nahalööve, mis esineb peamiselt näol, seljal ja rinnal;3;
aktiivsüsi;EuroLLM-9b-instruct;Aktiivsüsi on süsinikmaterjal, mis sisaldab suurt hulka poore. Neid auke kasutatakse adsorptsiooniks - protsessiks, mille käigus aine seob ennast aktiivsöega ja eemaldatakse keskkonnast. Aktiivsütt kasutatakse tavaliselt kahjulike ainete filtreerimiseks, näiteks toiduainetes või õhufiltrides. See on ka populaarne vahend toksiinide eemaldamiseks kehast ja seedetraktis.;2;
aktiivsüsi;Llama-4-Maverick-17B-128E-Instruct;suure eripinnaga käsitletud süsi, mida kasutatakse absorbendina gaaside või vedelike puhastamisel või värvainete eraldamisel lahustitest;3;
aktiivsüsi;Claude 3 Opus;poorne süsinikurikas aine, mida kasutatakse nt vee ja õhu puhastamiseks, mürgistuste ravis, seedehäirete korral jm tänu tema suurele imamisvõimele;3;
aktiivsüsi;Gmeini 2.0 Flash;poorne süsinikmaterjal, mida saadakse orgaaniliste ainete (nt puidu, kookospähklikoorte) kuumutamisel ja aktiveerimisel ning mida kasutatakse adsorbendina gaaside, vedelike ja värvainete puhastamiseks.;3;
aktiivsüsi;Gemini 2.5 Pro Preview;suure adsorbeerimisvõimega poorne süsi;2;ei sisalda piisavalt infot
aktiivsüsi;GPT-4o;poorne süsinikmaterjal, millel on suur pindala ja mida kasutatakse adsorbendina gaaside, vedelike või lahustunud ainete eemaldamiseks või puhastamiseks;2;
aktiivsüsi;o3;kõrge poorsuse ja väga suure adsorbeerimisvõimega, spetsiaalselt töödeldud süsi, mida kasutatakse gaaside ja vedelike puhastamiseks ning mürkainete sidumiseks;3;
aktsent;EuroLLM-9b-instruct;Aktsent on helivärv, mida inimene kasutab teatud keele rääkimiseks või hääldamisel konkreetses piirkonnas. See sisaldab kõiki individuaalseid helisid ja rütme, mis eristavad kõnelejat teistest. Aktsent võib olla iseloomulik teatud piirkonnale, rahvale või rahvusele. Näiteks on ameerika inglise aktsent erinev briti inglise aktsendist. Samuti võivad inimesed rääkida oma kodumaal omapärase aktsendiga, kuid võõrastes piirkondades võivad nad omandada uue aktsendi.;2;
aktsent;Claude 3.7 Sonnet;"kõnes avalduvad häälduslikud iseärasused, mis on tingitud kõneleja emakeelest või murdest; rõhk, rõhuasetus";3;
aktsent;Claude 3 Opus;kõnes esinev hääldusviis, mis on omane teisest piirkonnast või riigist pärit isikule ja erineb kirjakeele normist;3;
aktsent;Gemini 1.5 Pro;"häälduse eripära, rõhk silbil, sõnal või sõnaosal, mis eristab seda teistest; rõhuasetus, esiletõstmine";2;
aktsent;GPT-4o;kõneviisile iseloomulik hääldus, mis viitab kõneleja keelelisele või piirkondlikule taustale, rõhuasetus sõnades või lausetes, mis võib eristada kõnelejat teistest keelekasutajatest.;3;
debatt;Llama-4-Maverick-17B-128E-Instruct;avalik vaidlus või arutelu, kus osapooled esitavad oma seisukohti ja argumente mõne küsimuse või probleemi kohta, sageli avalikus või ametlikus keskkonnas;3;
debatt;Claude 3.5 Sonnet;avalik arutelu või vaidlus kindlal teemal, kus eri seisukohti esindavad pooled esitavad oma argumente ja vastuargumente;3;
debatt;Claude 3.7 Sonnet;avalik arutelu, kus erinevate seisukohtadega osalejad esitavad oma argumente mingi küsimuse või probleemi kohta;4;
debatt;Claude 3 Opus;avalik vaidlus, milles osalejad esitavad mingis küsimuses oma seisukohti ja argumente ning püüavad üksteist ümber veenda;3;
debatt;Gmeini 2.0 Flash;avalik arutelu, väitlus kindlaksmääratud reeglite järgi, kus osalejad püüavad oma seisukohti argumentidega kaitsta ja teisi veenda;3;
debatt;GPT-4.1;avalik arutelu mingi küsimuse või probleemi üle, kus eri seisukohtade esindajad esitavad oma argumente ja vastuväiteid;4;
debatt;o3;kahe või enama osapoole avalik ja argumenteeritud arutelu mõne küsimuse või teema üle, kus vastandlikke seisukohti esitatakse ja võrreldakse kindlate reeglite või kokkulepitud korra alusel;3;
deegu;EuroLLM-9b-instruct;Deeg on väikeste mõõtmetega loom, kes kuulub näriliste hulka. See on levinud kogu maailmas ja seda peetakse lemmikloomana või lemmiklinnuna. Deed saavad hästi kohaneda erinevate keskkondadega ja neid hoitakse tavaliselt puuris või akvaariumis. Deed võivad olla erinevat värvi ja kuju, kuid neil on üldiselt sarnased tunnused, nagu näiteks pikk saba ja suured kõrvad. Neid peetakse sõbralikeks loomadeks, kes suudavad hästi kohaneda inimestega ja õppida trikke tegema. Deege saab toita mitmesuguste toiduainetega, sealhulgas teravilja, puu- ja köögiviljadega.;2;Kasutab defis vigast vormi märksõnast
deegu;Llama-4-Maverick-17B-128E-Instruct;Lõuna-Ameerikast pärit näriline, kes sarnaneb välimuselt hiire või oravaga, ning on populaarne lemmikloom oma sotsiaalse ja uudishimuliku loomuse tõttu;4;
deegu;Gmeini 2.0 Flash;Lõuna-Ameerikast pärit väike näriline (Octodon degus), keda peetakse ka lemmikloomana;4;
deegu;Gemini 2.5 Pro Preview;väike Tšiili päritolu näriline, keda sageli peetakse lemmikloomana;4;
deegu;o3;väike Lõuna-Ameerikast pärit seltsilembene päevaliine näriline, keda peetakse sageli lemmikloomana;3;
defekt;Llama-4-Maverick-17B-128E-Instruct;mingi asja või objekti viga või puudus, mis võib olla seotud selle valmistamise, ehitamise või funktsioneerimisega ning mis võib takistada selle normaalset toimimist või halvendada selle kvaliteeti.;3;
defekt;Claude 3.7 Sonnet;ese, seade, toode vm, millel on puudus, viga või rike, mis takistab selle normaalset toimimist või kasutamist;3;
defekt;o3;ettenähtud või normaalsetest omadustest kõrvalekalduv puudus, viga või kahjustus, mis vähendab eseme, organismi, seadme vms terviklikkust, välimust või toimimist;3;
filosofeerima;Gemini 2.5 Pro Preview;Sügavalt, abstraktselt v kaalutlevalt mõtisklema v arutlema.;4;
filosofeerima;o4-mini;mõtlikult või teoreetiliselt arutlema elu, maailma, teadmiste ja väärtuste olemuslike küsimuste üle;3;
huligaan;Llama-4-Maverick-17B-128E-Instruct;inimene, kes käitub korrarikkujana, teeb õigusvastaseid tegusid või põhjustab avalikus kohas segadust ja korratust, sageli vägivaldselt või ülekohtuselt.;3;
huligaan;Claude 3.5 Sonnet;avalikus kohas teisi häiriv ja korda rikkuv isik, kes käitub vägivaldselt või ebaviisakalt ning eirab ühiskondlikke norme;4;
kasutajaskond;EuroLLM-9b-instruct;"Rühm inimesi, kes kasutavad või on huvitatud mingist konkreetsest teenusest, tootest või platvormist. Näitena ""Google'i kasutajaskond"" viitab inimestele, kes kasutavad Google'i tooteid ja teenuseid.";4;
kasutajaskond;Claude 3.5 Sonnet;mingi toote, teenuse, süsteemi või keskkonna tarbijate või rakendajate kogum;3;
kasutajaskond;Gemini 1.5 Pro;mingi teenuse, toote või süsteemi kasutajate kogum;3;
kasutajaskond;GPT-4.1;inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi;4;
kasutajaskond;o4-mini;mingi teenuse, toote või süsteemi kasutajatest koosnev kogum;3;
peoloom;EuroLLM-9b-instruct;Inimene, kes armastab pidutseda ja osaleda erinevatel üritustel koos sõpradega. Peoloom on tavaliselt seltskondlik ja hea suhtleja, kellel on palju sõpru ning ta naudib pidude nautimist.;4;
peoloom;Claude 3.5 Sonnet;pidutsemist ja seltskondlikku meelelahutust armastav, pidudel sageli käiv ja seal aktiivne inimene;3;
peoloom;Gemini 1.5 Pro;Seltskondlik ja lõbus inimene, kes naudib pidusid ja oskab luua head meeleolu.;3;
peoloom;Gemini 2.5 Pro Preview;Innukas ja sage pidutseja.;3;
peoloom;o3;pidusid, lõbutsemist ja seltskonda armastav inimene, kes käib sageli ning meelsasti pidudel;4;
pesakond;Claude 3 Opus;ühel sigimisperioodil sündinud (linnu)poegade rühm;2;
suitsetama;EuroLLM-9b-instruct;Tegevus, mille käigus hingatakse sisse ja välja suitsu, mis tekib tubaka või mõne muu aine põletamisel. Suitsetamine on väga kahjulik tervisele ning võib põhjustada tõsiseid terviseprobleeme, sealhulgas kopsuvähki, südame-veresoonkonna haigusi ja hingamisteede haigusi.;4;
suitsetama;Claude 3.5 Sonnet;tubakat või muud suitsetatavat ainet põletades selle suitsu sisse hingama ja välja puhuma;4;
suitsetama;Claude 3.7 Sonnet;tubakat, kanepit vm taimset ainet põletades tekkivat suitsu sisse hingama, tavaliselt naudingu saamiseks või harjumusest;4;
suitsetama;GPT-4.1;tubakat või muud taolist ainet suitsetamise teel sisse hingama;3;
suitsetama;o4-mini;tubaka või muu suitsutava aine põletamisest eralduva suitsu sisse- ja väljahingamine;4;
suitsetama;o3;suitsevast tubakast või muust põlevast ainest tekkivat suitsu sisse hingates tarvitama ja välja puhuma;3;
sugupuu;EuroLLM-9b-instruct;Sugupuust saab lugeda inimese või looma esivanemate kohta. See näitab, kuidas inimesed on seotud omavahel ning oma vanemate ja vanavanematega. Näiteks võib sugupuu sisaldada teavet inimeste sünni- ja surmadaatumite, nende elukohtade ja ametite kohta.;2;
sugupuu;Claude 3.7 Sonnet;skemaatiline joonis või kirjalik ülevaade, mis kujutab perekonna või suguvõsa liikmete omavahelisi sugulussuhteid mitme põlvkonna lõikes;4;
sugupuu;Claude 3 Opus;skemaatiline kujutis, mis näitab isikute põlvnemist ja sugulust mitme põlvkonna vältel;4;
sugupuu;Gemini 2.5 Pro Preview;ühe isiku v suguvõsa põlvnemist (esivanemaid ja/või järglasi) kajastav skeem v loetelu;4;
sugupuu;GPT-4o;esivanemate ja järeltulijate järjestikune loetelu või skeem, mis näitab perekondlikke seoseid ja päritolu;4;
sugupuu;o4-mini;perekonna sugulussuhete skeem, mis kujutab eri põlvkondade kaupa pärilussidemeid;4;
kategooriline;Llama-4-Maverick-17B-128E-Instruct;vaieldamatut, absoluutset või üldkehtivat väidet, seisukohta või otsust väljendav või kujutav;3;
kategooriline;GPT-4.1;ilma kahtluse või kõhkluseta, tingimusteta ja kindlalt väitev või otsustav;4;
personal;Llama-4-Maverick-17B-128E-Instruct;asutuse, ettevõtte vms koosseis, töötajad, töölised;4;
personal;Claude 3.7 Sonnet;"asutuse, ettevõtte vm organisatsiooni töötajaskond, ametnikud või teenistujad; isiklik, üksikisikut puudutav või temale kuuluv";3;
personal;GPT-4.1;ühes asutuses, ettevõttes vm töötavad inimesed tervikuna;3;
perspektiivitu;EuroLLM-9b-instruct;Perspektiivitu tähendab midagi, mis ei näe tulevikus head tulemust või edu. See võib viidata tegevusele, projektile või olukorrale, mis tõenäoliselt ei too oodatavat kasu või positiivseid tulemusi. Näiteks võib öelda, et mõni äriprojekt on perspektiivitu, kui sellel pole piisavalt tugevaid eeldusi edukaks toimimiseks.;3;
perspektiivitu;Claude 3.5 Sonnet;tulevikuvõimalusi, edasimineku- või arenemisvõimalusi mittepakkuv, lootusetu;4;
perspektiivitu;Claude 3.7 Sonnet;tulevikuväljavaateta, edasise arengu või edu võimaluseta, lootusetu;4;
perspektiivitu;Gemini 1.5 Pro;"edasimineku-, arengu- või lootusetust tähistav; ilma tulevikuväljavaateteta";3;
pesto;EuroLLM-9b-instruct;Pesto on Itaalia päritolu maitseaine, mis põhineb basiilikulehedel, küüslaugul, oliiviõli, pinoleemutteritel (kõrvitsaseemned) ja sool. Seda kasutatakse tavaliselt pasta, risotto või teiste roogade maitsestamiseks. Pesto on populaarne kogu maailmas ja seda saab kasutada erinevat tüüpi toitude maitsestamiseks.;2;
pesto;Claude 3 Opus;Itaalia päritolu rohelist värvi kaste, mille põhikoostisosad on basiilik, oliiviõli, küüslauk, parmesani juust ja seedermänniseemned;4;
pesto;Gemini 2.5 Pro Preview;peamiselt basiilikust, pähklitest v seemnetest, küüslaugust, juustust ja õlist valmistatud paks (hrl roheline) kaste v maitselisand;4;
pesto;GPT-4.1;paks, tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust valmistatud külm kaste või määre;4;
summaarne;EuroLLM-9b-instruct;Summaarne tähendab lühikokkuvõtet või kokkuvõtlikku ülevaadet mingist teemast, sündmusest või olukorrast. See võib viidata sellele, et andmeid on esitatud lihtsustatud ja kiire vormis, ilma üksikasjadeta. Näiteks võib öelda, et aruanne on tehtud summaariliselt, kui see sisaldab ainult peamisi fakte ja mõjutusi, kuid mitte kõiki üksikasju.;2;
summaarne;Claude 3 Opus;kogusummat, üldkogust, tervikut hõlmav või väljendav, kokkuvõtlik, summariseeriv;3;
summaarne;Gemini 1.5 Pro;"kokkuvõtlik, üldine, terviklik;  mitmest osast või komponendist koosnev tervik käsitletud ühe ühikuna.";4;
summaarne;Gmeini 2.0 Flash;kokkuvõtlik, üldistav, peamisi punkte esile toov;4;
summaarne;Gemini 2.5 Pro Preview;"Kogusummat esitav või moodustav; koond-; üld-";4;
summaarne;GPT-4o;kogusummana esinev, kokkuvõtlikult arvestatud või väljendatud, kõigi osade või elementide kogumina käsitletav;4;
transport;Llama-4-Maverick-17B-128E-Instruct;"inimeste või kaupade vedu, edasitoimetamine; selleks kasutatavad vahendid (sõidukid, teed vms)";4;
transport;GPT-4o;inimeste, kaupade või informatsiooni liikumine ühest kohast teise, sageli sõidukite või muude vahendite abil, et hõlbustada liikumist ja ühendust erinevate paikade vahel;3;
transport;o4-mini;inimeste, kaupade või esemete ühest paigast teise liigutamine või selleks kasutatav vahend;3;
transs;Gemini 1.5 Pro;teadvusseisund, kus inimene on osaliselt või täielikult eraldunud tavapärasest reaalsustajust, näiteks sügava keskendumise, meditatsiooni, hüpnoosi või teatud rituaalide tagajärjel.;4;
transs;Gmeini 2.0 Flash;"teadvuse muundunud seisund, kus välismaailmaga kontakt on nõrgenenud ja keskendutakse sisemistele aistingutele, mõtetele vms; ekstaasitaoline seisund";4;
transs;Gemini 2.5 Pro Preview;eriline teadvusseisund, milles reaktsioon välisärritustele on nõrgenenud või puudub;3;
akne;EuroLLM-9b-instruct;Akne on nahahaigus, mille tunnused on komedoonid (mustad täpid ja valged punktid), punased sõlmed ja mädavillid. See tekib tavaliselt puberteedieas, kui rasunäärmed toodavad rohkem rasu, mis ummistab poorid ja põhjustab põletikku ning infektsiooni. Akne võib olla põhjustatud mitmetest teguritest, sealhulgas geneetiline eelsoodumus, hormonaalsed muutused, toitumine, stress või muud põhjused. Akne on levinud nahahaigus, mida saab ravida erinevate meetoditega, nagu näiteks ravimite kasutamine, kosmeetilised protseduurid ja muud.;3;
akne;Claude 3.7 Sonnet;naha rasunäärmete põletikuline haigus, mis avaldub näol, rinnal või seljal esinevate vistrike või punnilistena;4;
akne;Claude 3 Opus;naha rasunäärmete krooniline põletikuline haigus, mille korral tekivad näole, kaelale, seljale ja rinnale vistrikud, sõlmekesed või paised;4;
akne;Gemini 1.5 Pro;nahal, eriti näol, seljal ja rinnal esinev põletikuline haigus, mille korral ummistuvad rasunäärmed ja tekivad vistrikud.;4;
akne;GPT-4o;nahahaigus, mida iseloomustavad põletikulised ja mittepõletikulised vistrikud, tavaliselt näol, seljal ja rinnal, sageli seotud rasunäärmete talitlushäiretega;4;
akne;GPT-4.1;nahahaigus, mille korral rasunäärmed ja karvafolliikulid ummistuvad ning tekivad vistrikud, komedoonid ja põletikulised sõlmed;4;
aktiivsüsi;Gmeini 2.0 Flash;poorne süsinikmaterjal, mida saadakse orgaaniliste ainete (nt puidu, kookospähklikoorte) kuumutamisel ja aktiveerimisel ning mida kasutatakse adsorbendina gaaside, vedelike ja värvainete puhastamiseks.;3;
aktiivsüsi;o4-mini;"kõrgel temperatuuril töötlemise teel saadav mikropoorne süsinikmaterjal, mille suured pindalad võimaldavad gaasidest ja vedelikest saasteaineid neelata; kasutatakse filtrimaterjalina ja puhastusainena";4;
aktsent;Claude 3 Opus;kõnes esinev hääldusviis, mis on omane teisest piirkonnast või riigist pärit isikule ja erineb kirjakeele normist;4;
aktsent;Gmeini 2.0 Flash;hääldusviis, mis on omane mingile keelelisele või geograafilisele piirkonnale, sotsiaalsele grupile või isikule ja mis erineb mingist standardsest hääldusest.;4;
aktsent;Gemini 2.5 Pro Preview;võõrkeele v murde mõjuline hääldusviis;3;
aktsent;o4-mini;sõna või fraasi silp, mille hääldamisel on teistega võrreldes tugevam rõhk, või kõneleja murde- või võõrkeelset päritolu paljastav hääldusomadus;3;
debatt;EuroLLM-9b-instruct;Debatt on avalik arutelu või vaidlus, mille eesmärk on kaaluda erinevaid seisukohti ja argumente mõne küsimuse või probleemi kohta. Osalejad võivad esitada oma arvamusi ja väiteid ning neid kaitsta, kasutades fakte, statistikat, näiteid ja muid tõendeid. Debatit juhib tavaliselt moderaator, kes korraldab arutelu ja tagab selle reeglitele vastavuse. Debatt võib toimuda kas kirjalikult või suuliselt, näiteks ülekandena või otseülekandena. Debati eesmärk on tavaliselt saavutada üksmeel või otsus, kuid see võib olla ka meelelahutuslik eesmärk.;3;
debatt;Claude 3.7 Sonnet;avalik arutelu, kus erinevate seisukohtadega osalejad esitavad oma argumente mingi küsimuse või probleemi kohta;4;
debatt;Gemini 2.5 Pro Preview;avalik v korraldatud vaidlus, arutelu;3;
debatt;GPT-4o;avalik arutelu või vaidlus, kus osalejad esitavad ja kaitsevad oma seisukohti teatud teemal, eesmärgiga jõuda selgusele või veenda teisi oma vaatenurgas;4;
debatt;o4-mini;kahe või enama osapoole vahel toimuv argumenteeritud arutelu, kus vahetatakse ja põhjendatakse erinevaid seisukohti;4;
deegu;Claude 3.5 Sonnet;Lõuna-Ameerika päritolu väike näriline, kes on kasvult hamstri ja merisea vahepealne, hallikas-pruuni karvaga ning pika koheva sabaga lemmikloom;4;
deegu;Gmeini 2.0 Flash;Lõuna-Ameerikast pärit väike näriline (Octodon degus), keda peetakse ka lemmikloomana;3;
deegu;GPT-4.1;Lõuna-Ameerikast pärit väike näriline, keda sageli peetakse lemmikloomana;3;
deegu;o3;väike Lõuna-Ameerikast pärit seltsilembene päevaliine näriline, keda peetakse sageli lemmikloomana;3;
defekt;Llama-4-Maverick-17B-128E-Instruct;mingi asja või objekti viga või puudus, mis võib olla seotud selle valmistamise, ehitamise või funktsioneerimisega ning mis võib takistada selle normaalset toimimist või halvendada selle kvaliteeti.;3;
defekt;Gemini 2.5 Pro Preview;"viga, rike vm puudus; ebatäiuslikkus";4;
defekt;GPT-4.1;mingi eseme, seadme, organismi vms puudus, viga või kahjustus, mis takistab selle normaalset toimimist või vähendab väärtust;4;
filosofeerima;EuroLLM-9b-instruct;Filosofeerima on tegevus, mille käigus inimesed arutavad erinevaid filosoofilisi teemasid, nagu näiteks elu mõte, inimloomuse olemus, teadmiste päritolu ja tähendus. See võib hõlmata mitmesuguseid küsimusi ja probleeme, mis puudutavad maailma ja inimese kohta selles maailmas. Filosofeerimine võib toimuda kas suuliselt või kirjalikult, näiteks kirjade vahetuses, foorumites või muudes suhtluskeskkondades. Filosofeerimist peetakse sageli meeldivaks ja huvitavaks tegevuseks, mis aitab inimestel paremini mõista ennast ja maailma enda ümber. See võib samuti aidata arendada kriitilist mõtlemist, analüüsivõimet ja loovust.;3;
filosofeerima;Llama-4-Maverick-17B-128E-Instruct;sügavama mõtte või tähenduse otsimiseks või leidmiseks mõtlema, arutlema või vestlema, sageli abstraktselt või põhimõtteliselt.;4;
filosofeerima;Claude 3.7 Sonnet;mõtisklema, arutlema filosoofiliste küsimuste üle, püüdes jõuda sügavama arusaamani maailma, inimese või elu olemusest;4;
filosofeerima;Claude 3 Opus;mõtisklema, arutlema või targutama elulistel, sageli sügavamõttelistel teemadel, püüdes jõuda asjade ja nähtuste olemuseni;4;
filosofeerima;Gemini 2.5 Pro Preview;Sügavalt, abstraktselt v kaalutlevalt mõtisklema v arutlema.;4;
huligaan;EuroLLM-9b-instruct;Huligaan on isik, kes teeb ebaseaduslikke või ebasoovitavaid asju, näiteks murrab seadusi, tekitab konflikte teiste inimestega või kahjustab vara. See võib hõlmata mitmesuguseid tegevusi, nagu näiteks vandalism, vargus, vägivald või muu kuritegelik käitumine. Huligaanid võivad olla nii üksikisikud kui ka rühmitused, kes tegutsevad koos eesmärgiga kahjustada teisi inimesi või ühiskonda. Hulklemist peetakse tavaliselt negatiivseks ja ebaseaduslikuks tegevuseks, mis võib põhjustada tõsiseid tagajärgi nii huligaanile endale kui ka teistele inimestele. Huligaanid võivad olla ka ohtlikud, kuna nad võivad kasutada vägivalda või muid ebaseaduslikke meetodeid oma eesmärkide saavutamiseks.;3;
huligaan;Gemini 2.5 Pro Preview;avalikku korda rikkuv, teisi häiriv või vara lõhkuv isik;4;
huligaan;GPT-4o;isik, kes käitub avalikus kohas häirivalt, korda rikkudes või vägivaldselt, sageli teistele kahju tekitades või neid ohustades;4;
kasutajaskond;Llama-4-Maverick-17B-128E-Instruct;kindla teenuse, toote või vahendi kasutajate kogumik või ringkond;3;
